Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C37193;Anaplastic Large Cell Lymphoma, ALK-Positive;ALK-Positive Anaplastic Large Cell Lymphoma ;A T-cell peripheral lymphoma composed of usually large, pleomorphic, CD30 positive T-lymphocytes with abundant cytoplasm. It is characterized by the presence of a translocation involving the ALK gene and expression of ALK fusion protein. Most patients present with peripheral and/or abdominal lymphadenopathy, and often have advanced disease and extranodal involvement.;Malignant;
C6916;Anaplastic Lymphoma;Anaplastic Large B-Cell Lymphoma;A diffuse large B-cell lymphoma variant characterized by the presence of large round, oval, or polygonal cells with bizarre pleomorphic nuclei resembling Hodgkin or Reed-Sternberg cells. It is unrelated to anaplastic large cell lymphoma which is a T-cell non-Hodgkin lymphoma.;Malignant;
C92625;Anaplastic Medulloblastoma;;A medulloblastoma characterized by marked nuclear pleomorphism, and high mitotic activity.;Malignant;
C6959;Anaplastic Oligoastrocytoma;Anaplastic Mixed Glioma ;An oligoastrocytoma characterized by the presence of increased cellularity, nuclear atypia, pleomorphism, and high mitotic activity.;Malignant;
C4326;Anaplastic Oligodendroglioma;Malignant Oligodendroglioma ;A WHO grade 3 oligodendroglioma with focal or diffuse malignant morphologic features (prominent nuclear pleomorphism, mitoses, and increased cellularity).;Malignant;
C129321;Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted;;An anaplastic oligodendroglioma carrying IDH gene family mutation and combined whole-arm losses of 1p and 19q (1p/19q codeletion).;Malignant;
C129322;Anaplastic Oligodendroglioma, Not Otherwise Specified;Anaplastic Oligodendroglioma, NOS;A central nervous system tumor with morphological features of anaplastic oligodendroglioma in which there is insufficient information on the IDH genes and 1p/19q codeletion status.;Malignant;
C129327;Anaplastic Pleomorphic Xanthoastrocytoma;WHO Grade 3 Pleomorphic Xanthoastrocytoma ;A WHO grade 3 pleomorphic xanthoastrocytoma characterized by the presence of five or more mitoses per 10 high-power fields. Necrosis may be present. Patients have shorter survival rates when compared to those with WHO grade 2 pleomorphic xanthoastrocytoma.;Malignant;
C3799;Angiofibroma;Angiofibromatous Hyperplasia ;A morphologic variant of fibroma characterized by the presence of numerous dilated vascular channels.;Benign;
C3747;Angioleiomyoma;Angiomyoma ;A benign, slow-growing neoplasm that arises from the dermis or subcutaneous tissue. It is characterized by the presence of well-differentiated smooth muscle cells which are arranged around numerous vessels.;Benign;
C4332;Angiomatous Meningioma;;A WHO grade I meningioma characterized by the presence of small and medium sized vessels that predominate over the meningioma cells.;Undetermined;
C3088;Angiosarcoma;;A malignant tumor arising from the endothelial cells of the blood vessels.  Microscopically, it is characterized by frequently open vascular anastomosing and branching channels.  The malignant cells that line the vascular channels are spindle or epithelioid and often display hyperchromatic nuclei.  Angiosarcomas most frequently occur in the skin and breast.  Patients with long-standing lymphedema are at increased risk of developing angiosarcoma.;Malignant;
C4169;Apocrine Carcinoma;Apocrine Adenocarcinoma ;A carcinoma with apocrine differentiation arising from the sweat glands. It presents as single or multiple nodular lesions which may be ulcerated or hemorrhagic and is usually in the axilla and less often in the anogenital region. It grows in the dermis and infiltrates subcutaneous tissues. It is characterized by the presence of large cells with abundant eosinophilic cytoplasm and large often vesicular nuclei. Most cases are slow growing tumors and have a prolonged course.;Malignant;
C7718;Appendix Adenocarcinoma;Adenocarcinoma of Appendix ;A malignant neoplasm arising from the glandular epithelium of the appendix with invasion of the appendiceal wall beyond the muscularis mucosa.  The majority of cases are well differentiated adenocarcinomas with mucinous stroma formation.  Clinically, it may present as an abdominal mass or with symptoms of acute appendicitis.  Patients with chronic ulcerative colitis are at a higher risk in developing appendiceal adenocarcinomas compared to the general population.;Malignant;
C43550;Appendix Adenoma;;A circumscribed neoplasm arising from the glandular epithelium of the appendix.  Morphologically, it is characterized by a proliferation of neoplastic glandular cells and it is associated with dysplasia.  According to the growth pattern, it may be classified as tubular, villous, or tubulovillous.  The dysplasia is classified as mild, moderate, or severe.;Undetermined;
C9330;Appendix Carcinoma;Appendiceal Cancer ;A malignant epithelial neoplasm arising from the appendix.  The vast majority of the cases are adenocarcinomas.;Malignant;
C3689;Appendix Goblet Cell Adenocarcinoma;Appendix Adenocarcinoid Tumor ;An invasive mixed adenoneuroendocrine carcinoma of the appendix characterized by a submucosal growth and the presence of neoplastic signet-ring cells resembling goblet cells of the intestine.;Malignant;
C43558;Appendix Mucinous Adenocarcinoma;;An adenocarcinoma arising from the appendix, characterized by the presence of mucinous stroma formation.;Malignant;
C43554;Appendix Signet Ring Cell Adenocarcinoma;Appendix Signet Ring Cell Carcinoma ;An adenocarcinoma arising from the appendix, characterized by the presence of signet-ring, mucin-producing malignant cells.  The signet-ring cells constitute more than fifty-percent of the malignant cells.;Malignant;
C43555;Appendix Small Cell Neuroendocrine Carcinoma;Appendix Small Cell Carcinoma;An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the appendix and is composed of malignant small cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C27926;Asbestos-Related Malignant Mesothelioma;;Malignant mesothelioma occurring in a patient exposed to asbestos.;Malignant;
C7542;Askin Tumor;Askin's Tumor ;A primitive neuroectodermal tumor (small round blue cell tumor) of the thorax which can involve the periosteum, thoracic wall and/or pleura though it spares the lung parenchyma.;Malignant;
C4324;Astroblastoma, MN1-Altered;Astroblastoma;A rare glial neoplasm characterized by structural rearrangements of the MN1 gene at chromosome band 22q12.1. It is usually found in the cerebral hemispheres of young adults and children and predominantly affects females. Morphologically, it consists of elongated glial cells with abundant eosinophilic cytoplasm and GFAP-positive processes, arranged perivascularly.;Undetermined;
C6958;Astrocytic Tumor;Astrocytic Neoplasm ;A glial tumor of the brain or spinal cord showing astrocytic differentiation.  It includes the following clinicopathological entities: pilocytic astrocytoma, diffuse astrocytoma, anaplastic astrocytoma, pleomorphic xanthoastrocytoma, subependymal giant cell astrocytoma, and glioblastoma.;Undetermined;
C60781;Astrocytoma;;A tumor of the brain or spinal cord showing astrocytic differentiation. It includes the following clinicopathological entities: pilocytic astrocytoma, diffuse astrocytoma, anaplastic astrocytoma, pleomorphic xanthoastrocytoma, and subependymal giant cell astrocytoma.;Undetermined;
C129271;Astrocytoma, IDH-Mutant, Grade 2;Astrocytoma, IDH-Mutant, Grade II ;IDH-mutant astrocytoma characterized by the presence of well-differentiated fibrillary glial cells diffusely infiltrating the central nervous system.;Undetermined;
C129290;Astrocytoma, IDH-Mutant, Grade 3;Anaplastic Astrocytoma, IDH-Mutant ;IDH-mutant astrocytoma characterized by the presence of increased mitotic activity and anaplastic features.;Malignant;
C6917;Atypical Burkitt/Burkitt-Like Lymphoma;Atypical Burkitt's/Burkitt's-Like Lymphoma ;A morphologic variant of Burkitt lymphoma characterized by marked nuclear pleomorphism, abundant apoptotic debris, and the presence of tangible body macrophages.;Malignant;
C3519;Atypical Chronic Myeloid Leukemia;Atypical CML ;"A myelodysplastic/myeloproliferative neoplasm characterized by the presence of leukocytosis with increased numbers of neutrophils, promyelocytes, myelocytes, and metamyelocytes; blasts less than 20% in bone marrow and peripheral blood; dysgranulopoiesis; minimal or absent monocytosis; absence of eosinophilia; and presence of bone marrow hypercellularity with granulocytic proliferation and granulocytic dysplasia. Dysplasia in the erythroid and megakaryocytic lineages may be present or absent. No evidence of BCR/ABL fusion is present.";Malignant;
C6505;Atypical Lipomatous Tumor/Well Differentiated Liposarcoma;Atypical Lipomatous Tumor ;"A locally aggressive mesenchymal neoplasm composed either entirely or partly of an adipocytic proliferation showing at least focal nuclear atypia in both adipocytes and stromal cells. ""Atypical lipomatous tumor"" and ""well-differentiated liposarcoma"" are synonyms describing lesions that are morphologically and genetically identical. Amplification of MDM2 and/or CDK4 is almost always present. (WHO 2020)";Undetermined;
C4723;Atypical Meningioma;;A WHO grade II meningioma characterized by the presence of brain invasion and an increased mitotic activity, or at least three of the following morphologic features: small cells, high cellularity, prominent nucleoli, lack of architectural pattern, and necrosis.;Undetermined;
C6906;Atypical Teratoid/Rhabdoid Tumor;Atypical Teratoid/Rhabdoid Tumor (WHO Grade 4) ;An aggressive malignant embryonal neoplasm arising from the central nervous system. It is composed of cells with a large eccentric nucleus, prominent nucleolus, and abundant cytoplasm. Mutations of the SMARCB1 gene or very rarely SMARCA4 (BRG1) gene are present. The vast majority of cases occur in childhood. Symptoms include lethargy, vomiting, cranial nerve palsy, headache, and hemiplegia.;Malignant;
C8644;B Acute Lymphoblastic Leukemia;B Cell Precursor Type Acute Leukemia ;The most frequent type of acute lymphoblastic leukemia.  Approximately 75% of cases occur in children under six years of age.  This is a good prognosis leukemia.  In the pediatric age group the complete remission rate is approximately 95% and the disease free survival rate is 70%.  Approximately 80% of children appear to be cured.  In the adult age group the complete remission rate is 60-85%.  (WHO, 2001);Malignant;
C80347;"B Acute Lymphoblastic Leukemia with t(1;19)(q23;p13.3); TCF3-PBX1";B Acute Lymphoblastic Leukemia with TCF3-PBX1 Fusion ;A B-cell acute leukemia characterized by the presence of lymphoblasts that carry a translocation between the E2A gene on chromosome 19 and the PBX1 gene on chromosome 1. It occurs in children and less often in adults.;Malignant;
C80343;"B Acute Lymphoblastic Leukemia with t(12;21)(p13.2;q22.1); ETV6-RUNX1";B Acute Lymphoblastic Leukemia with ETV6-RUNX1 Fusion ;"A B-cell acute leukemia characterized by the presence of lymphoblasts that carry a translocation between the TEL gene on chromosome 12 and the AML1 gene on chromosome 21, (p13.2;q22.1). It results in the production of the TEL-AML1 (ETV6-RUNX1) fusion protein. It is commonly seen in children and rarely in adults. It has a favorable clinical outcome.";Malignant;
C80346;"B Acute Lymphoblastic Leukemia with t(5;14)(q31.1;q32.3); IL3-IGH";B Acute Lymphoblastic Leukemia with IGH-IL3 Fusion ;"A rare B-cell acute leukemia characterized by the presence of lymphoblasts that carry a translocation between the IL3 gene on chromosome 5 and the IGH locus on chromosome 14, (q31.1;q32.3). It results in eosinophilia.";Malignant;
C36312;"B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1";Acute Lymphoblastic Leukemia, Philadelphia Chromosome Positive ;A B-cell acute leukemia characterized by the presence of lymphoblasts that carry a translocation between the BCR gene on chromosome 22 and the ABL1 gene on chromosome 9. It results in the production of the p190 kd or p210 kd fusion protein. It has an unfavorable clinical outcome.;Malignant;
